scrape_ts_utc,location_code,station_code,rental_bikes,open,fetch_time
2026-09-23T09:30:12Z,utt001,UTT,6,Yes,1790155760
2026-09-23T09:30:12Z,bmn001,BMN,12,Yes,1790155760
2026-09-23T09:30:12Z,ztm002,ZTM,11,Yes,1790155760
2026-09-23T09:30:12Z,eml001,EML,4,Unknown,1790155760
2026-09-23T09:30:12Z,Rvs001,RVS,6,Yes,1790155760
2026-09-23T09:30:12Z,nmgo001,NMGO,5,Yes,1790155760
2026-09-23T09:30:12Z,lc001,LC,7,Yes,1790155760
2026-09-23T09:30:12Z,Zh001,ZH,6,Yes,1790155760
2026-09-23T09:30:12Z,bgn002,BGN,9,Yes,1790155760
2026-09-23T09:30:12Z,odz001,ODZ,9,Yes,1790155760
2026-09-23T09:30:12Z,ck001,CK,7,Yes,1790155760
2026-09-23T09:30:12Z,klp001,KLP,0,Yes,1790155760
2026-09-23T09:30:12Z,vhp001,VHP,6,Yes,1790155760
2026-09-23T09:30:12Z,bet001,BET,13,Yes,1790155760
2026-09-23T09:30:12Z,asb002,ASB,0,Yes,1790155760
2026-09-23T09:30:12Z,btl004,BTL,0,Yes,1765384590
2026-09-23T09:30:12Z,ypb001,YPB,8,Yes,1790155760
2026-09-23T09:30:12Z,htnc001,HTNC,20,Yes,1790155760
2026-09-23T09:30:12Z,vh001,VH,6,Yes,1790155760
2026-09-23T09:30:12Z,tbr001,TBR,2,Yes,1790155760
2026-09-23T09:30:12Z,zwd003,ZWD,9,Yes,1790155760
2026-09-23T09:30:12Z,ut007,BSLC,0,Yes,1790155760
2026-09-23T09:30:12Z,gv001,GV,85,Yes,1790155760
2026-09-23T09:30:12Z,hwd003,HWD,6,Yes,1790155760
2026-09-23T09:30:12Z,gerp002,GERP,12,Yes,1790155760
2026-09-23T09:30:12Z,dv003,BSLC,0,Yes,1790155760
2026-09-23T09:30:12Z,Ow002,BSLC,7,Yes,1790155760
2026-09-23T09:30:12Z,dv001,DV,56,Yes,1790155760
2026-09-23T09:30:12Z,ledn002,LEDN,0,Yes,1790155760
2026-09-23T09:30:12Z,hmbv001,HMBV,8,Yes,1790155760
2026-09-23T09:30:12Z,hdrz001,HDRZ,5,Yes,1790155760
2026-09-23T09:30:12Z,cas002,CAS,23,Yes,1790155760
2026-09-23T09:30:12Z,Rtn003,RTN,,Yes,1781535386
2026-09-23T09:30:12Z,sk001,SK,7,Yes,1790155760
2026-09-23T09:30:12Z,Gp001,GP,1,Yes,1790155760
2026-09-23T09:30:12Z,odb001,ODB,2,Yes,1790155760
2026-09-23T09:30:12Z,ana001,ANA,6,Yes,1790155760
2026-09-23T09:30:12Z,gs003,GS,12,Yes,1790155760
2026-09-23T09:30:12Z,amfs001,AMFS,1,Yes,1790155760
2026-09-23T09:30:12Z,rsd002,RSD,19,Yes,1790155760
